"","unit","COMID","length.km","width.km","area.kmsq","area.acre","unit.area.acre","proportion.area"
"132","18",12952982,1.431,0.00300585333317295,0.00430137611977049,1.06289318690964,55.9301402019767,0.0190039428306686
"133","18",12953008,6.742,0.00698230944420594,0.0470747302728365,11.6324191815332,55.9301402019767,0.20798122692927
"134","18",12953338,4.781,0.010668,0.051003708,12.6032907215799,55.9301402019767,0.225339873564889
"135","18",12953614,0.179,0.00229054929143434,0.000410008323166747,0.101315263100832,55.9301402019767,0.00181146091776203
"136","18",12953006,2.535,0.0022749886734988,0.00576709628731946,1.42508052803595,55.9301402019767,0.0254796523464746
"137","18",12952996,0.359,0.00207354593917976,0.000744402992165534,0.183945985344364,55.9301402019767,0.0032888525700113
"138","19",12952872,2.903,0.00537474525986109,0.0156028854893767,3.85555697084094,119.793860214872,0.032184929711133
"139","19",12952936,2.897,0.00312499694255158,0.00905311614257193,2.23707371787679,119.793860214872,0.0186743603876208
"140","19",12952644,0.435,0.0017206593838991,0.000748486831996109,0.184955124143549,119.793860214872,0.00154394493851186
"141","19",12952788,1.895,0.00561714622007252,0.0106444920870374,2.63031127769161,119.793860214872,0.0219569790386057
"142","19",12952732,2.688,0.00196587114817884,0.00528426164630472,1.30576948988244,119.793860214872,0.0109001370148713
"143","19",12952876,0.997,0.00173098790440757,0.00172579494069435,0.426453217154381,119.793860214872,0.00355989210456579
"144","19",12952960,1.776,0.00149807324430131,0.00266057808187913,0.657443161845921,119.793860214872,0.00548812068220089
"145","19",12952642,1.672,0.00155642532105037,0.00260234313679622,0.643052993526489,119.793860214872,0.00536799625934967
"146","19",12953610,0.06,0.00226151724613564,0.000135691034768138,0.0335299849080552,119.793860214872,0.000279897357409747
"147","19",12952966,2.921,0.00251990316451347,0.00736063714354385,1.81885304919679,119.793860214872,0.0151831909075669
"148","19",12952756,2.932,0.00179103076805443,0.00525130221193559,1.29762503627971,119.793860214872,0.0108321497775611
"149","19",12952724,0.692,0.00475587326318466,0.00329106429812378,0.813239698820847,119.793860214872,0.0067886592631889
"150","19",12952878,1.87,0.00203952360334819,0.00381390913826112,0.942437472491121,119.793860214872,0.00786716005979513
"151","19",12952692,2.142,0.00187257183942873,0.00401104888005634,0.991151763589768,119.793860214872,0.00827381104350389
"152","19",12952660,1.786,0.00194033719302027,0.0034654422267342,0.856329423389578,119.793860214872,0.00714835820344713
"153","19",12952938,1.446,0.00166020597271474,0.00240065783654551,0.593215470471719,119.793860214872,0.00495196890231002
"154","19",12952870,2.148,0.00216830783286136,0.0046575252249862,1.15089954741316,119.793860214872,0.00960733334203285
"155","19",12952634,1.182,0.00159998039289524,0.00189117682440217,0.467319970615762,119.793860214872,0.00390103440842076
"156","19",12952730,2.139,0.00179751004811698,0.00384487399292222,0.950089054714228,119.793860214872,0.00793103296788393
"157","19",12952722,1.404,0.00207870315110112,0.00291849922414597,0.721176864094217,119.793860214872,0.00602014880228967
"158","19",12952758,2.307,0.03630168,0.08374797576,20.6945754972777,119.793860214872,0.172751553878957
"159","19",12952882,3.733,0.00213415961779259,0.00796681785321974,1.96864356469929,119.793860214872,0.0164335931838925
"160","19",12952710,0.82,0.00435868265814053,0.00357411977967523,0.88318423156599,119.793860214872,0.00737253336675052
